Iteration,Category,data_type,Min,Max,Mean,Median,STD
258,Mixture,skewness,0.07,0.07,0.07,0.07,0.0
259,Mixture,harmonic,-0.29,0.3,-0.0,-0.0,0.06
259,Mixture,skewness,0.03,0.03,0.03,0.03,0.0
260,Mixture,harmonic,-0.27,0.21,0.0,0.0,0.06
260,Mixture,skewness,-0.39,-0.39,-0.39,-0.39,0.0
261,Mixture,harmonic,-0.28,0.22,0.0,0.0,0.06
261,Mixture,skewness,0.01,0.01,0.01,0.01,0.0
262,Mixture,harmonic,-0.33,0.31,0.0,-0.0,0.06
262,Mixture,skewness,0.06,0.06,0.06,0.06,0.0
263,Mixture,harmonic,-0.27,0.24,0.0,0.0,0.05
263,Mixture,skewness,-0.04,-0.04,-0.04,-0.04,0.0
264,Mixture,harmonic,-0.32,0.34,-0.0,0.0,0.06
264,Mixture,skewness,-0.13,-0.13,-0.13,-0.13,0.0
265,Mixture,harmonic,-0.29,0.27,0.0,0.0,0.07
265,Mixture,skewness,0.03,0.03,0.03,0.03,0.0
266,Mixture,harmonic,-0.31,0.33,0.0,0.0,0.08
266,Mixture,skewness,-0.11,-0.11,-0.11,-0.11,0.0
267,Mixture,harmonic,-0.33,0.27,-0.0,0.0,0.07
229,Mixture,skewness,0.01,0.01,0.01,0.01,0.0
229,Mixture,harmonic,-0.31,0.31,0.0,-0.0,0.06
228,Mixture,skewness,0.08,0.08,0.08,0.08,0.0
228,Mixture,harmonic,-0.37,0.4,0.0,-0.0,0.07
190,Mixture,skewness,0.03,0.03,0.03,0.03,0.0
191,Mixture,harmonic,-0.26,0.33,-0.0,-0.0,0.06
191,Mixture,skewness,0.07,0.07,0.07,0.07,0.0
192,Mixture,harmonic,-0.33,0.38,-0.0,0.0,0.07
192,Mixture,skewness,0.0,0.0,0.0,0.0,0.0
193,Mixture,harmonic,-0.33,0.28,0.0,0.0,0.06
193,Mixture,skewness,-0.23,-0.23,-0.23,-0.23,0.0
194,Mixture,harmonic,-0.32,0.31,-0.0,0.0,0.06
194,Mixture,skewness,-0.11,-0.11,-0.11,-0.11,0.0
195,Mixture,harmonic,-0.3,0.28,-0.0,0.0,0.06
190,Mixture,harmonic,-0.35,0.35,-0.0,0.0,0.06
195,Mixture,skewness,-0.06,-0.06,-0.06,-0.06,0.0
196,Mixture,skewness,-0.18,-0.18,-0.18,-0.18,0.0
197,Mixture,harmonic,-0.41,0.4,0.0,0.0,0.09
197,Mixture,skewness,-0.09,-0.09,-0.09,-0.09,0.0
198,Mixture,harmonic,-0.31,0.3,0.0,-0.0,0.07
198,Mixture,skewness,0.05,0.05,0.05,0.05,0.0
199,Mixture,harmonic,-0.32,0.32,0.0,0.0,0.07
199,Mixture,skewness,0.06,0.06,0.06,0.06,0.0
200,Mixture,harmonic,-0.22,0.19,0.0,0.0,0.04
200,Mixture,skewness,-0.19,-0.19,-0.19,-0.19,0.0
201,Mixture,harmonic,-0.37,0.36,0.0,-0.0,0.09
196,Mixture,harmonic,-0.26,0.24,0.0,0.0,0.05
189,Mixture,skewness,0.02,0.02,0.02,0.02,0.0
189,Mixture,harmonic,-0.22,0.24,-0.0,-0.0,0.05
188,Mixture,skewness,-0.03,-0.03,-0.03,-0.03,0.0
177,Mixture,harmonic,-0.4,0.36,-0.0,-0.0,0.08
177,Mixture,skewness,0.07,0.07,0.07,0.07,0.0
178,Mixture,harmonic,-0.37,0.34,-0.0,0.0,0.07
178,Mixture,skewness,-0.07,-0.07,-0.07,-0.07,0.0
179,Mixture,harmonic,-0.41,0.41,-0.0,-0.0,0.08
179,Mixture,skewness,0.07,0.07,0.07,0.07,0.0
180,Mixture,harmonic,-0.3,0.34,-0.0,0.0,0.06
180,Mixture,skewness,0.01,0.01,0.01,0.01,0.0
181,Mixture,harmonic,-0.28,0.27,-0.0,0.0,0.07
181,Mixture,skewness,-0.17,-0.17,-0.17,-0.17,0.0
182,Mixture,harmonic,-0.31,0.33,-0.0,-0.0,0.07
182,Mixture,skewness,0.08,0.08,0.08,0.08,0.0
183,Mixture,harmonic,-0.31,0.28,0.0,-0.0,0.07
183,Mixture,skewness,-0.03,-0.03,-0.03,-0.03,0.0
184,Mixture,harmonic,-0.27,0.27,-0.0,-0.0,0.06
184,Mixture,skewness,0.2,0.2,0.2,0.2,0.0
185,Mixture,harmonic,-0.31,0.31,0.0,0.0,0.07
185,Mixture,skewness,-0.0,-0.0,-0.0,-0.0,0.0
186,Mixture,harmonic,-0.29,0.31,0.0,0.0,0.08
186,Mixture,skewness,-0.1,-0.1,-0.1,-0.1,0.0
187,Mixture,harmonic,-0.35,0.3,-0.0,0.0,0.07
187,Mixture,skewness,-0.01,-0.01,-0.01,-0.01,0.0
188,Mixture,harmonic,-0.16,0.17,0.0,0.0,0.02
201,Mixture,skewness,0.15,0.15,0.15,0.15,0.0
176,Mixture,harmonic,-0.2,0.24,-0.0,0.0,0.05
202,Mixture,harmonic,-0.36,0.39,-0.0,-0.0,0.09
203,Mixture,harmonic,-0.41,0.35,-0.03,-0.03,0.08
217,Mixture,harmonic,-0.27,0.24,-0.0,-0.0,0.05
217,Mixture,skewness,-0.04,-0.04,-0.04,-0.04,0.0
218,Mixture,harmonic,-0.28,0.27,0.0,0.0,0.07
218,Mixture,skewness,-0.03,-0.03,-0.03,-0.03,0.0
219,Mixture,harmonic,-0.25,0.3,-0.0,-0.0,0.07
219,Mixture,skewness,0.12,0.12,0.12,0.12,0.0
220,Mixture,harmonic,-0.24,0.21,0.0,0.0,0.05
