Iteration,Category,data_type,Min,Max,Mean,Median,STD
176,Mixture,percussive,-0.41,0.39,0.0,0.0,0.07
243,Mixture,harmonic,-0.29,0.3,0.0,0.0,0.07
243,Mixture,percussive,-0.4,0.42,0.0,0.0,0.08
244,Mixture,harmonic,-0.4,0.29,0.0,0.01,0.08
244,Mixture,percussive,-0.4,0.32,0.0,0.0,0.05
245,Mixture,harmonic,-0.32,0.32,0.0,0.0,0.08
245,Mixture,percussive,-0.46,0.4,0.0,0.0,0.07
246,Mixture,harmonic,-0.28,0.26,-0.0,0.0,0.05
246,Mixture,percussive,-0.42,0.47,0.0,0.0,0.09
247,Mixture,harmonic,-0.35,0.35,0.0,-0.0,0.08
247,Mixture,percussive,-0.4,0.41,0.0,0.0,0.07
242,Mixture,percussive,-0.5,0.46,0.0,0.0,0.08
248,Mixture,harmonic,-0.3,0.31,-0.0,0.0,0.06
249,Mixture,harmonic,-0.27,0.3,0.0,0.0,0.07
249,Mixture,percussive,-0.39,0.44,-0.0,0.0,0.07
250,Mixture,harmonic,-0.25,0.29,-0.0,0.0,0.06
250,Mixture,percussive,-0.41,0.44,0.0,-0.0,0.08
251,Mixture,harmonic,-0.2,0.21,-0.0,-0.0,0.05
251,Mixture,percussive,-0.17,0.18,-0.0,0.0,0.03
252,Mixture,harmonic,-0.35,0.29,0.0,0.0,0.06
252,Mixture,percussive,-0.44,0.4,0.0,0.0,0.06
253,Mixture,harmonic,-0.25,0.31,0.0,-0.0,0.06
253,Mixture,percussive,-0.44,0.39,0.0,0.0,0.06
248,Mixture,percussive,-0.61,0.57,0.0,0.0,0.09
254,Mixture,harmonic,-0.26,0.32,-0.0,-0.0,0.07
242,Mixture,harmonic,-0.34,0.32,0.0,0.0,0.07
241,Mixture,harmonic,-0.26,0.3,-0.0,0.0,0.07
230,Mixture,harmonic,-0.25,0.28,-0.0,0.0,0.06
230,Mixture,percussive,-0.32,0.35,-0.0,-0.0,0.05
231,Mixture,harmonic,-0.33,0.34,-0.0,0.0,0.07
231,Mixture,percussive,-0.48,0.47,0.0,0.0,0.09
232,Mixture,harmonic,-0.33,0.3,-0.0,-0.0,0.05
232,Mixture,percussive,-0.46,0.47,0.0,-0.0,0.08
233,Mixture,harmonic,-0.35,0.34,0.0,0.0,0.07
233,Mixture,percussive,-0.43,0.4,0.0,0.0,0.07
234,Mixture,harmonic,-0.35,0.36,0.0,0.0,0.07
234,Mixture,percussive,-0.42,0.45,0.0,0.0,0.09
241,Mixture,percussive,-0.44,0.47,0.0,-0.0,0.08
235,Mixture,harmonic,-0.31,0.29,-0.0,0.0,0.06
236,Mixture,harmonic,-0.29,0.29,-0.0,-0.0,0.07
236,Mixture,percussive,-0.44,0.44,0.0,0.0,0.06
237,Mixture,harmonic,-0.28,0.3,0.0,-0.0,0.08
237,Mixture,percussive,-0.21,0.32,0.0,0.0,0.04
238,Mixture,harmonic,-0.3,0.31,-0.0,-0.0,0.05
238,Mixture,percussive,-0.41,0.42,0.0,-0.0,0.08
239,Mixture,harmonic,-0.21,0.21,0.0,0.0,0.05
239,Mixture,percussive,-0.44,0.45,0.0,0.0,0.09
240,Mixture,harmonic,-0.29,0.32,-0.0,0.0,0.06
240,Mixture,percussive,-0.39,0.43,0.0,-0.0,0.08
235,Mixture,percussive,-0.49,0.39,0.0,-0.0,0.07
254,Mixture,percussive,-0.43,0.4,0.0,-0.0,0.07
255,Mixture,harmonic,-0.31,0.31,-0.0,0.0,0.07
255,Mixture,percussive,-0.16,0.15,0.0,0.0,0.02
269,Mixture,percussive,-0.55,0.54,-0.0,-0.0,0.08
270,Mixture,harmonic,-0.33,0.3,-0.0,0.0,0.06
270,Mixture,percussive,-0.47,0.39,0.0,0.0,0.07
271,Mixture,harmonic,-0.31,0.28,-0.0,0.0,0.06
271,Mixture,percussive,-0.48,0.51,-0.0,-0.0,0.09
272,Mixture,harmonic,-0.3,0.33,-0.0,-0.0,0.06
272,Mixture,percussive,-0.52,0.49,0.0,-0.0,0.1
273,Mixture,harmonic,-0.25,0.29,0.0,-0.0,0.07
273,Mixture,percussive,-0.41,0.37,0.0,-0.0,0.06
274,Mixture,harmonic,-0.28,0.32,-0.0,-0.0,0.07
269,Mixture,harmonic,-0.29,0.25,-0.0,-0.0,0.06
274,Mixture,percussive,-0.37,0.5,0.0,0.0,0.08
275,Mixture,percussive,-0.47,0.45,-0.0,-0.0,0.09
276,Mixture,harmonic,-0.33,0.31,-0.0,-0.0,0.07
276,Mixture,percussive,-0.43,0.4,0.0,0.0,0.07
277,Mixture,harmonic,-0.33,0.33,0.0,0.0,0.07
277,Mixture,percussive,-0.39,0.42,0.0,0.0,0.07
278,Mixture,harmonic,-0.38,0.3,-0.0,-0.0,0.07
278,Mixture,percussive,-0.45,0.38,0.0,0.0,0.06
279,Mixture,harmonic,-0.3,0.29,0.0,0.0,0.07
279,Mixture,percussive,-0.42,0.44,-0.0,0.0,0.09
280,Mixture,harmonic,-0.28,0.29,-0.0,0.0,0.08
275,Mixture,harmonic,-0.28,0.25,0.0,0.0,0.07
268,Mixture,percussive,-0.39,0.37,0.0,0.0,0.07
268,Mixture,harmonic,-0.36,0.37,0.0,0.0,0.07
267,Mixture,percussive,-0.52,0.48,0.0,-0.0,0.08
256,Mixture,harmonic,-0.36,0.4,0.0,-0.0,0.08
256,Mixture,percussive,-0.44,0.4,0.0,-0.0,0.08
257,Mixture,harmonic,-0.36,0.36,0.0,0.0,0.06
257,Mixture,percussive,-0.43,0.45,-0.0,0.0,0.09
258,Mixture,harmonic,-0.31,0.31,0.0,-0.0,0.07
258,Mixture,percussive,-0.39,0.46,0.0,0.0,0.06
259,Mixture,harmonic,-0.27,0.31,0.0,0.0,0.06
259,Mixture,percussive,-0.38,0.38,0.0,0.0,0.07
260,Mixture,harmonic,-0.25,0.3,0.0,0.0,0.06
260,Mixture,percussive,-0.42,0.39,0.0,0.0,0.08
261,Mixture,harmonic,-0.23,0.26,0.0,0.0,0.05
261,Mixture,percussive,-0.41,0.41,0.0,-0.0,0.07
262,Mixture,harmonic,-0.31,0.32,-0.0,-0.0,0.07
262,Mixture,percussive,-0.41,0.42,0.0,-0.0,0.07
263,Mixture,harmonic,-0.28,0.21,0.0,0.0,0.06
263,Mixture,percussive,-0.54,0.47,0.0,-0.0,0.09
264,Mixture,harmonic,-0.3,0.26,-0.0,0.0,0.07
264,Mixture,percussive,-0.4,0.45,0.0,0.0,0.09
265,Mixture,harmonic,-0.31,0.28,-0.0,0.0,0.06
265,Mixture,percussive,-0.48,0.41,0.0,0.0,0.07
266,Mixture,harmonic,-0.33,0.33,-0.0,0.0,0.07
266,Mixture,percussive,-0.46,0.45,0.0,0.0,0.09
267,Mixture,harmonic,-0.3,0.32,0.0,0.0,0.07
229,Mixture,percussive,-0.36,0.39,-0.0,0.0,0.04
229,Mixture,harmonic,-0.28,0.26,0.0,0.0,0.05
228,Mixture,percussive,-0.49,0.48,0.0,-0.0,0.08
228,Mixture,harmonic,-0.33,0.29,-0.0,0.0,0.06
190,Mixture,percussive,-0.49,0.44,0.0,0.0,0.06
191,Mixture,harmonic,-0.34,0.37,-0.0,-0.0,0.07
191,Mixture,percussive,-0.41,0.4,0.0,0.0,0.07
192,Mixture,harmonic,-0.27,0.28,0.0,0.0,0.07
192,Mixture,percussive,-0.39,0.42,0.0,0.0,0.06
193,Mixture,harmonic,-0.3,0.36,0.0,0.0,0.06
193,Mixture,percussive,-0.43,0.4,0.0,0.0,0.07
194,Mixture,harmonic,-0.29,0.25,0.0,0.0,0.05
194,Mixture,percussive,-0.44,0.43,0.0,0.0,0.1
195,Mixture,harmonic,-0.25,0.25,-0.0,0.0,0.05
190,Mixture,harmonic,-0.41,0.29,0.0,-0.0,0.07
195,Mixture,percussive,-0.45,0.39,0.0,0.0,0.08
196,Mixture,percussive,-0.57,0.49,-0.0,0.0,0.11
197,Mixture,harmonic,-0.38,0.36,-0.0,0.0,0.09
197,Mixture,percussive,-0.41,0.44,0.0,0.0,0.08
198,Mixture,harmonic,-0.34,0.27,-0.0,0.0,0.06
198,Mixture,percussive,-0.44,0.42,0.0,0.0,0.09
199,Mixture,harmonic,-0.35,0.4,-0.0,-0.0,0.08
199,Mixture,percussive,-0.44,0.4,0.0,-0.0,0.09
200,Mixture,harmonic,-0.27,0.23,-0.0,0.0,0.05
200,Mixture,percussive,-0.17,0.19,-0.0,-0.0,0.03
201,Mixture,harmonic,-0.38,0.41,-0.0,-0.0,0.09
196,Mixture,harmonic,-0.28,0.32,0.0,-0.0,0.05
189,Mixture,percussive,-0.4,0.39,0.0,-0.0,0.07
189,Mixture,harmonic,-0.26,0.3,-0.0,-0.0,0.06
188,Mixture,percussive,-0.41,0.45,-0.0,0.0,0.06
177,Mixture,harmonic,-0.31,0.4,-0.0,-0.0,0.07
177,Mixture,percussive,-0.39,0.43,0.0,0.0,0.08
178,Mixture,harmonic,-0.36,0.46,-0.0,-0.0,0.07
178,Mixture,percussive,-0.39,0.49,-0.0,-0.0,0.09
179,Mixture,harmonic,-0.27,0.28,-0.0,-0.0,0.08
179,Mixture,percussive,-0.68,0.7,-0.0,-0.0,0.1
180,Mixture,harmonic,-0.25,0.31,0.0,0.0,0.06
180,Mixture,percussive,-0.43,0.43,0.0,0.0,0.07
181,Mixture,harmonic,-0.21,0.27,-0.0,0.0,0.04
181,Mixture,percussive,-0.44,0.42,0.0,0.0,0.07
182,Mixture,harmonic,-0.26,0.29,-0.0,0.0,0.06
182,Mixture,percussive,-0.39,0.4,-0.0,-0.0,0.07
183,Mixture,harmonic,-0.31,0.24,-0.0,0.0,0.06
183,Mixture,percussive,-0.48,0.44,0.0,0.0,0.08
184,Mixture,harmonic,-0.31,0.3,-0.0,-0.0,0.07
184,Mixture,percussive,-0.42,0.39,0.0,0.0,0.07
185,Mixture,harmonic,-0.24,0.22,-0.0,0.0,0.05
185,Mixture,percussive,-0.57,0.51,0.0,0.0,0.1
186,Mixture,harmonic,-0.34,0.27,-0.0,0.0,0.07
186,Mixture,percussive,-0.47,0.54,0.0,0.0,0.07
187,Mixture,harmonic,-0.32,0.32,0.0,-0.0,0.07
187,Mixture,percussive,-0.45,0.42,0.0,0.0,0.08
188,Mixture,harmonic,-0.35,0.33,-0.0,0.0,0.07
201,Mixture,percussive,-0.38,0.47,0.0,-0.0,0.07
